x,z_lower,z_upper
3.0975199661254882,8.8785843470299479,9.0964081498704079
3.0980772247314454,8.8786720751409476,9.0969127569842811
3.0986344757080078,8.8787598020508653,9.097417357189606
3.099191734313965,8.8788475301618668,9.0979219643034792
3.0997489929199218,8.8789352582728647,9.0984265714173507
3.100306251525879,8.8790229863838661,9.0989311785312221
3.1008635025024414,8.8791107132937839,9.099435778736547
3.1014207611083986,8.8791984414047835,9.0999403858504202
3.1019780197143554,8.8792861695157832,9.1004449929642917
3.1025352783203126,8.8793742593933462,9.1009496000781631
3.1030925369262694,8.8794699603130649,9.1014542071920346
3.1036497879028322,8.8796631397149071,9.1019588073973612
3.104207046508789,8.8798563217615936,9.1024634145112326
3.1047643051147462,8.8800495038082783,9.1029680216251059
3.105321563720703,8.8802426858549648,9.1034595282857378
3.1058788146972658,8.8804358652568069,9.1038951922926987
3.1064360733032226,8.8806290473034917,9.1043106650487768
3.1069933319091798,8.8808222293501782,9.104726137804855
3.1075505905151366,8.8810154113968629,9.1051416105609331
3.1081078491210938,8.8812085934435494,9.105557083317013
3.1086651000976562,8.8814807449122117,9.1059725503848785
3.1092223587036134,8.8821678991520301,9.1063880231409566
3.1097796173095702,8.8828550533918449,9.1068034958970348
3.1103368759155274,8.8835422076316632,9.1072189686531146
3.1108941268920898,8.8842293524636915,9.1076344357209802
3.111451385498047,8.8849165067035081,9.1080499084770583
3.1120086441040038,8.8856036609433247,9.1084653812331364
3.112565902709961,8.8862908151831412,9.1088808539892163
3.1131231613159178,8.8869779694229578,9.1092963267452944
3.1136804122924806,8.8876651142549878,9.10971179381316
3.1142376708984374,8.8882996015003588,9.1101272665692381
3.1147949295043946,8.8882496397932442,9.1105427393253162
3.1153521881103514,8.8881996780861314,9.1109582120813961
3.1159094390869142,8.8881497170630404,9.1113736791492617
3.116466697692871,8.8880997553559276,9.1117891519053398
3.1170239562988282,8.8880497936488148,9.1122046246614179
3.117581214904785,8.8879998319417002,9.112620097417496
3.1181384735107422,8.8879498702345856,9.1130355701735759
3.1186957244873046,8.8878999092114945,9.1134510372414415
3.1192529830932618,8.8878499475043817,9.1138665099975196
3.1198102416992186,8.8877999857972689,9.1142819827535977
3.1203675003051758,8.8877500240901544,9.1146974555096776
3.1209247589111326,8.8877000623830398,9.1151129282657557
3.1214820098876954,8.8876501013599505,9.1155283953336212
3.1220392684936522,8.8876001396528359,9.1159438680896994
3.1225965270996094,8.8875501779457231,9.1163593408457793
3.1231537857055662,8.8875002162386103,9.1167748136018574
3.123711036682129,8.8874011029936923,9.1171902806697229
3.1242682952880858,8.8872809020354495,9.117605753425801
3.124825553894043,8.8871138222976107,9.1180212261818792
3.1253828124999998,8.8869023083809182,9.1184366989379591
3.1259400711059571,8.8866378650054489,9.1188521716940372
3.1264973220825194,8.8863458945424281,9.1192676387619027
3.1270545806884766,8.8859617473732229,9.1196831115179808
3.1276118392944334,8.8855776002040177,9.120098584274059
3.1281690979003907,8.8850846424238856,9.1205140570301388
3.128726348876953,8.8845588511050444,9.1209295240980044
3.1292836151123047,8.8840330453888505,9.1213450025422951
3.129840866088867,8.8835072540700093,9.1217604696101606
3.1303981170654298,8.8829814627511681,9.1221759366780262
3.130955383300781,8.8824556570349742,9.1225914151223186
3.1315126342773438,8.8819298657161312,9.1230068821901842
3.1320699005126955,8.8812397582091869,9.1234223606344749
3.1326271514892579,8.8805409235378061,9.1238378277023422
3.1331844024658202,8.8798420888664236,9.1242526379818667
3.1337416687011719,8.879143235059372,9.1246565507357076
3.1342989196777342,8.8784444003879894,9.1250604524298087
3.1348561859130859,8.8775964659733795,9.125446080233484
3.1354134368896482,8.8766876703880619,9.1258142247148069
3.135970687866211,8.8757788748027409,9.1261823691961297
3.1365279541015623,8.8748700543325487,9.1265505237580786
3.137085205078125,8.8739612587472276,9.1269186682394015
3.1376424560546874,8.8730524631619083,9.1272868127207243
3.1381997222900391,8.8721973186588183,9.1276549672826732
3.1387569732666014,8.8714593457437321,9.1280231117639961
3.1393142395019531,8.8707213526212811,9.128391266325945
3.1398714904785154,8.8699833797061967,9.1287594108072678
3.1404287414550782,8.8692454067911086,9.1291275552885924
3.1409860076904295,8.8685755751385127,9.1294957098505414
3.1415432586669922,8.8680277644695202,9.1298638543318642
3.1421005249023439,8.8674799388002352,9.1302320088938131
3.1426577758789063,8.8669321281312428,9.130600153375136
3.1432150268554686,8.8663843174622503,9.1309682978564588
3.1437722930908203,8.8658364917929653,9.1313364524184077
3.1443295440673826,8.8652886811239746,9.1317045968997306
3.1448868103027343,8.8647408554546896,9.1320727514616813
3.1454440612792967,8.8641930447856971,9.1324408959430041
3.1460013122558594,8.8636452341167047,9.132809040424327
3.1465585784912111,8.8630974084474197,9.1331771949862759
