x,z
4.852916419999999675e+00,8.998898199999999292e+00
4.850558219999999920e+00,8.999358629999999692e+00
4.849201299999999826e+00,8.999627329999999148e+00
4.848042259999999715e+00,8.999858100000000860e+00
4.844475400000000320e+00,9.000494800000000239e+00
4.842689730000000026e+00,9.000868569999999735e+00
4.839814119999999775e+00,9.001490269999999683e+00
4.838705420000000146e+00,9.001741600000000787e+00
4.837306670000000253e+00,9.002037310000000403e+00
4.836186719999999717e+00,9.002276229999999657e+00
4.835556269999999657e+00,9.002412469999999445e+00
4.834504990000000113e+00,9.002640359999999120e+00
4.832806030000000419e+00,9.003013550000000365e+00
4.832326609999999967e+00,9.003119549999999194e+00
4.832086870000000367e+00,9.003172299999999240e+00
4.831687050000000205e+00,9.003261300000000134e+00
4.831367410000000362e+00,9.003333149999999563e+00
4.829185950000000283e+00,9.003822800000000015e+00
4.828705860000000349e+00,9.003931070000000148e+00
4.828465750000000334e+00,9.003985860000000230e+00
4.827865659999999615e+00,9.004123410000000050e+00
4.827003989999999689e+00,9.004319759999999562e+00
4.826265339999999959e+00,9.004489120000000568e+00
4.825831779999999682e+00,9.004589620000000849e+00
4.825689620000000346e+00,9.004630439999999680e+00
4.825549640000000196e+00,9.004670700000000139e+00
4.822209189999999701e+00,9.005446720000000127e+00
4.822130959999999966e+00,9.005462229999999124e+00
4.822050749999999830e+00,9.005478189999999827e+00
4.821933890000000389e+00,9.005508680000000155e+00
4.821884869999999879e+00,9.005517400000000450e+00
4.821775269999999836e+00,9.005543480000000045e+00
4.821557290000000329e+00,9.005595639999999236e+00
4.820027180000000300e+00,9.005962489999999931e+00
4.820021399999999900e+00,9.005963879999999477e+00
4.818815739999999792e+00,9.006254339999999914e+00
4.817205219999999954e+00,9.006646930000000495e+00
4.814959830000000274e+00,9.007202500000000001e+00
4.814623499999999723e+00,9.007285570000000519e+00
4.814364509999999875e+00,9.007349960000000877e+00
4.814222670000000370e+00,9.007385499999999823e+00
4.813992299999999780e+00,9.007443560000000460e+00
4.813301029999999869e+00,9.007617550000000861e+00
4.812067220000000312e+00,9.007928740000000545e+00
4.810872419999999927e+00,9.008232389999999867e+00
4.810374529999999815e+00,9.008359829999999846e+00
4.808367320000000333e+00,9.008878010000000103e+00
4.807316509999999710e+00,9.009150139999999141e+00
4.806755830000000174e+00,9.009296369999999499e+00
4.806269200000000019e+00,9.009424109999999430e+00
4.804350770000000104e+00,9.009930349999999422e+00
4.803136150000000271e+00,9.010254500000000277e+00
4.802406780000000097e+00,9.010450040000000271e+00
4.801109760000000115e+00,9.010801569999999927e+00
4.799486879999999900e+00,9.011244919999999325e+00
4.797035160000000076e+00,9.011926130000000867e+00
4.792388230000000249e+00,9.013228059999999431e+00
4.790144360000000212e+00,9.013862250000000742e+00
4.788953290000000251e+00,9.014201099999999300e+00
4.787513849999999849e+00,9.014613289999999779e+00
4.787048320000000245e+00,9.014800259999999454e+00
4.786597350000000084e+00,9.014981589999999656e+00
4.785736400000000224e+00,9.015328370000000646e+00
4.784162239999999677e+00,9.015964609999999269e+00
4.781499420000000278e+00,9.017048439999999943e+00
4.781303300000000256e+00,9.017101500000000769e+00
4.780895049999999813e+00,9.017212269999999918e+00
4.780008109999999810e+00,9.017454259999999167e+00
4.775991849999999594e+00,9.019059889999999413e+00
4.773878719999999909e+00,9.019583640000000457e+00
4.773583480000000101e+00,9.019657490000000166e+00
4.772969210000000295e+00,9.019811600000000595e+00
4.771636189999999722e+00,9.020147930000000258e+00
4.765457229999999988e+00,9.021811109999999800e+00
4.761324199999999784e+00,9.023179580000000755e+00
4.759630760000000294e+00,9.023747240000000502e+00
4.758130490000000101e+00,9.024254219999999549e+00
4.753667890000000007e+00,9.025425710000000379e+00
4.753027229999999825e+00,9.025637729999999692e+00
4.752721679999999616e+00,9.025739129999999832e+00
4.752137979999999651e+00,9.025933350000000743e+00
4.749558780000000091e+00,9.026610319999999632e+00
4.748977479999999751e+00,9.026799869999999615e+00
4.747610599999999792e+00,9.027159049999999851e+00
4.747375060000000424e+00,9.027236479999999119e+00
4.746665349999999783e+00,9.027423100000000034e+00
4.746165920000000149e+00,9.027587069999999159e+00
4.745458570000000265e+00,9.027771969999999868e+00
4.745189049999999575e+00,9.027860999999999692e+00
4.744295229999999641e+00,9.028210250000000769e+00
4.743429729999999900e+00,9.028549180000000618e+00
4.741778629999999772e+00,9.029197870000000847e+00
4.736930560000000234e+00,9.030647670000000460e+00
4.735234499999999791e+00,9.031222449999999569e+00
4.733289519999999584e+00,9.031885219999999492e+00
4.731052850000000198e+00,9.032652730000000574e+00
4.730411069999999718e+00,9.032872910000000033e+00
4.729578730000000064e+00,9.033159510000000836e+00
