x0,z0,x1,z1,face
4.7118416148139888,9.0393772904819389,4.7101870381104707,9.0399668035917227,0
4.7101870381104707,9.0399668035917227,4.7099396383857819,9.0400555098715021,0
4.7099396383857819,9.0400555098715021,4.7098054295784948,9.0401037882508302,0
4.7098054295784948,9.0401037882508302,4.7068139864284104,9.0411761875501178,0
4.7039287955071272,9.0422135516156281,4.7065509111001074,9.0412708642454902,0
4.6992935801082165,9.0438930794956125,4.6986450473270676,9.0441304332585535,0
4.6986450473270676,9.0441304332585535,4.6981512644473815,9.044310299028373,0
4.694994557880273,9.0454882473320861,4.6939090892948228,9.0462861229872757,0
4.9641973791583265,8.9859390931786667,4.9655588687096053,8.9858227496709588,0
4.9532710117071161,8.9868626410657217,4.9530259931032292,8.9868831429744258,0
4.9530259931032292,8.9868831429744258,4.9529649122925443,8.9868886047494065,0
4.9529649122925443,8.9868886047494065,4.9508956469932492,8.9870618045531945,0
4.881336338487313,8.9942051368771221,4.8803631738319186,8.9943422378127416,0
4.8730399521550831,8.995430686352444,4.8727642109473601,8.9954737879084732,0
4.8732067905309888,8.9954048628292629,4.8730399521550831,8.995430686352444,0
4.8601556877494643,8.9975673863951187,4.8588388047911604,8.9978015702919407,0
4.8588388047911604,8.9978015702919407,4.8583307137441016,8.997892298060842,0
4.856403106168008,8.9982442579053323,4.8560461983603362,8.9983078780237609,0
4.8583307137441016,8.997892298060842,4.856403106168008,8.9982442579053323,0
4.8426897266966895,9.0008685702111482,4.8398141197403692,9.0014902700093664,0
4.8361867178297677,9.0022762272781982,4.8355562679232014,9.0024124670829035,0
4.8355562679232014,9.0024124670829035,4.8345049911222269,9.0026403578740091,0
4.8328060330912486,9.003013547374314,4.8323266123761419,9.0031195546079932,0
4.8149598334825914,9.0072025028423184,4.8146235044798482,9.007285571379704,0
4.8142226668879502,9.007385495682211,4.8139922982267773,9.0074435602573892,0
4.8139922982267773,9.0074435602573892,4.8133010325803651,9.0076175542435557,0
4.812067218826642,9.007928740832984,4.8133010325803651,9.0076175542435557,0
4.8043507711916593,9.0099303461520908,4.8031361531750214,9.0102545042228943,0
4.8031361531750214,9.0102545042228943,4.8024067786795834,9.0104500431580981,0
4.7201509913800646,9.0364377346193709,4.721500974258789,9.0359617214217351,0
4.718126274485523,9.0371503208990589,4.7201509913800646,9.0364377346193709,0
4.717804277628546,9.0372635632869347,4.7174233324678747,9.037398343152022,0
4.7172056328658396,9.0374751727688309,4.7164072256150762,9.0377575624094764,0
4.7174233324678747,9.037398343152022,4.7172056328658396,9.0374751727688309,0
4.7068139864284104,9.0411761875501178,4.706678441811996,9.0412248808733544,0
4.7066470668871503,9.0412361801516568,4.7065509111001074,9.0412708642454902,0
4.706678441811996,9.0412248808733544,4.7066470668871503,9.0412361801516568,0
4.7039287955071272,9.0422135516156281,4.7029098323115894,9.0425829714881338,0
4.7029098323115894,9.0425829714881338,4.7023924456326567,9.0427704892822209,0
4.7014687987307218,9.0431050468801768,4.6992935801082165,9.0438930794956125,0
4.7023924456326567,9.0427704892822209,4.7014687987307218,9.0431050468801768,0
4.6961823715500524,9.0449885549721003,4.6955738391059993,9.0451915063079582,0
4.9641973791583265,8.9859390931786667,4.9623634594900565,8.9860917051438545,0
4.9623634594900565,8.9860917051438545,4.9610615642996345,8.9862013772256635,0
4.9610615642996345,8.9862013772256635,4.9593265233898789,8.9863467265445074,0
4.9593265233898789,8.9863467265445074,4.9587193022923923,8.9863972282284585,0
4.9587193022923923,8.9863972282284585,4.957709942041614,8.986484355951017,0
4.9391296895828063,8.9880692243124596,4.9376583933132228,8.988196434009458,0
4.9397738945311573,8.9880143216917485,4.9391296895828063,8.9880692243124596,0
4.9308684209135514,8.9887852345084838,4.9299782587984113,8.9888646661548766,0
4.9299782587984113,8.9888646661548766,4.9294333931752776,8.9889121465702981,0
4.9294333931752776,8.9889121465702981,4.9288475492133683,8.9889648458699849,0
4.9288475492133683,8.9889648458699849,4.9280671599638399,8.9890350614769172,0
4.8981466027136094,8.9920473277226645,4.8966378320282056,8.9922260203813451,0
4.8952790532493209,8.9923880976997914,4.8966378320282056,8.9922260203813451,0
4.8940901788104219,8.9925315145751608,4.8934067473489833,8.9926149883769675,0
4.8926318276549887,8.9927107183081549,4.8927101383428315,8.992700943926442,0
4.8931329655790812,8.9926489334858175,4.8934067473489833,8.9926149883769675,0
4.8926318276549887,8.9927107183081549,4.8915209970752027,8.992850201942364,0
4.8915209970752027,8.992850201942364,4.8907798140561152,8.9929429350252654,0
4.8803631738319186,8.9943422378127416,4.8798680774640637,8.9944120517522439,0
4.8736226670172815,8.995341936957681,4.8733696353775517,8.9953799515011283,0
4.8733696353775517,8.9953799515011283,4.8732067905309888,8.9954048628292629,0
4.8727642109473601,8.9954737879084732,4.8716977294312498,8.9956447687427694,0
4.8716977294312498,8.9956447687427694,4.8668895258936331,8.9964153145088215,0
4.8668895258936331,8.9964153145088215,4.8665303987648931,8.9964745385194806,0
4.8617016563138415,8.9972898330491979,4.8607199830023271,8.9974677219105406,0
4.8607199830023271,8.9974677219105406,4.8601556877494643,8.9975673863951187,0
4.864169817107955,8.996863427146657,4.8617016563138415,8.9972898330491979,0
4.8560461983603362,8.9983078780237609,4.8542377425607848,8.9986452901752738,0
4.8444754036010753,9.0004948014875374,4.8426897266966895,9.0008685702111482,0
4.8480422610928375,8.9998580960063403,4.8444754036010753,9.0004948014875374,0
4.8323266123761419,9.0031195546079932,4.8320868683295419,9.0031722973023083,0
4.8320868683295419,9.0031722973023083,4.8316870476875584,9.0032613001107968,0
4.8316870476875584,9.0032613001107968,4.8313674148460297,9.0033331510355268,0
4.8291859508867159,9.0038227961808541,4.8287058572087291,9.0039310662626626,0
4.8287058572087291,9.0039310662626626,4.8284657498883208,9.0039858629937104,0
4.812067218826642,9.007928740832984,4.8108724226256623,9.0082323919352394,0
4.8108724226256623,9.0082323919352394,4.8103745267688183,9.0083598296734024,0
4.8103745267688183,9.0083598296734024,4.8083673155717381,9.0088780083601208,0
4.8083673155717381,9.0088780083601208,4.8073165104893283,9.0091501354074399,0
4.8073165104893283,9.0091501354074399,4.806755825924137,9.0092963663053105,0
