x,z,cp,tangential_velocity
8.460155926784039826e-01,2.564058843821032108e-02,3.974661032042976494e-01,-7.762305693514668370e-01
8.445475560230617518e-01,2.584003491141687037e-02,4.012804554133317936e-01,-7.737696973820235025e-01
8.430749347641613989e-01,2.604998686335082553e-02,4.023498357496753108e-01,-7.730783687636879620e-01
8.415975905462920181e-01,2.626801718436342498e-02,4.036022889525813229e-01,-7.722679010857687043e-01
8.401156905913711448e-01,2.649474959617156150e-02,4.049183763895410904e-01,-7.714153379408908995e-01
8.386292680433860003e-01,2.673006730174993031e-02,4.052167642729246344e-01,-7.712219108188481664e-01
8.371380059435913346e-01,2.697163646669557477e-02,4.076916318234020675e-01,-7.696157276047559392e-01
8.356427673119624089e-01,2.722417886692483219e-02,4.095739038954109290e-01,-7.683918896660668629e-01
8.341437989933921937e-01,2.748878692218515232e-02,4.078932712500021873e-01,-7.694847163849311000e-01
8.326405449019997906e-01,2.776176086558738293e-02,4.077270363633753725e-01,-7.695927258210180089e-01
8.311336934075069793e-01,2.804636844253063227e-02,4.057757019888449390e-01,-7.708594541232240971e-01
8.296228565452354875e-01,2.834016681383790676e-02,4.000225717684459115e-01,-7.745820990905702974e-01
8.281048250715101755e-01,2.862594098665058664e-02,4.054172458647289368e-01,-7.710919232719735117e-01
8.265839449066028077e-01,2.892579265479990058e-02,4.163011316024314290e-01,-7.640018772212333609e-01
8.250629341189831267e-01,2.925353775313873500e-02,4.046198121196012965e-01,-7.716088308724821099e-01
8.235369087527854015e-01,2.958436836798367456e-02,4.000337837420854248e-01,-7.745748616227579042e-01
8.220061226023691603e-01,2.991933245819816331e-02,4.007981897093938484e-01,-7.740812685310284325e-01
8.204716800326913306e-01,3.026323538528509494e-02,4.000353527324286285e-01,-7.745738488146700629e-01
