x,z
3.468654499999999974e+00,7.773932079999999800e+00
3.469141689999999834e+00,7.772783129999999652e+00
3.472685639999999907e+00,7.768518130000000355e+00
3.479579779999999900e+00,7.762851689999999749e+00
3.484709860000000159e+00,7.759323529999999636e+00
3.488119929999999869e+00,7.756799090000000341e+00
3.498341879999999904e+00,7.751976990000000178e+00
3.504240240000000117e+00,7.749201610000000073e+00
3.543171619999999855e+00,7.737902830000000343e+00
3.551511420000000196e+00,7.733325070000000245e+00
3.552863729999999887e+00,7.732733070000000097e+00
3.555744699999999980e+00,7.731303819999999938e+00
3.558822210000000208e+00,7.729908759999999823e+00
3.565079889999999807e+00,7.727503200000000128e+00
3.619317019999999996e+00,7.712287339999999602e+00
3.633671559999999801e+00,7.708666009999999957e+00
3.655909869999999895e+00,7.702068259999999889e+00
3.685995399999999922e+00,7.693306459999999625e+00
3.694223759999999857e+00,7.691814149999999906e+00
3.720607999999999915e+00,7.689151339999999557e+00
3.753300620000000087e+00,7.682896249999999760e+00
3.789947559999999882e+00,7.676829320000000401e+00
3.811510129999999830e+00,7.674847770000000402e+00
3.844770769999999782e+00,7.671042159999999832e+00
3.869113039999999781e+00,7.669439739999999617e+00
3.907690870000000150e+00,7.668602100000000199e+00
3.954065739999999884e+00,7.665194999999999759e+00
3.955613730000000050e+00,7.665303459999999625e+00
3.958128369999999840e+00,7.665051499999999685e+00
4.032911419999999580e+00,7.664604459999999619e+00
4.034260650000000226e+00,7.664735839999999634e+00
4.106668349999999634e+00,7.670292650000000378e+00
4.119673569999999785e+00,7.670881020000000383e+00
4.163865949999999927e+00,7.676536760000000292e+00
4.215758160000000032e+00,7.684848490000000254e+00
4.223263929999999888e+00,7.686313209999999785e+00
4.227363900000000285e+00,7.686909739999999935e+00
4.247108640000000435e+00,7.694982969999999867e+00
4.289355180000000267e+00,7.702372869999999594e+00
4.409508660000000191e+00,7.737902830000000343e+00
4.410564299999999882e+00,7.737980590000000269e+00
4.410661039999999922e+00,7.737990560000000073e+00
4.410719470000000086e+00,7.737994989999999795e+00
4.410786889999999794e+00,7.737997299999999967e+00
4.410953189999999857e+00,7.738009349999999564e+00
4.511269959999999912e+00,7.746966129999999673e+00
4.516536819999999786e+00,7.747506389999999854e+00
4.534465110000000188e+00,7.749123580000000011e+00
4.582279820000000115e+00,7.754083549999999825e+00
4.611144870000000395e+00,7.757941910000000441e+00
4.649371920000000102e+00,7.762945629999999930e+00
4.662450419999999873e+00,7.764678270000000104e+00
4.756291009999999986e+00,7.781844320000000259e+00
4.768855580000000316e+00,7.784248340000000432e+00
4.790670190000000161e+00,7.788160219999999967e+00
4.835737700000000139e+00,7.798789450000000123e+00
4.866914279999999593e+00,7.806154430000000310e+00
4.880383239999999567e+00,7.809860010000000408e+00
4.924263759999999657e+00,7.823194690000000229e+00
4.933749230000000097e+00,7.826398979999999561e+00
4.952151599999999654e+00,7.832195470000000270e+00
4.965551350000000141e+00,7.837333089999999558e+00
4.968414029999999926e+00,7.838590550000000157e+00
4.981152759999999624e+00,7.846020359999999805e+00
4.984058809999999617e+00,7.847462160000000075e+00
4.986159599999999692e+00,7.849897399999999692e+00
